נושאים מתקדמים בתכנות,16/4/2020,Not Done,Fri Apr 10 10:00:26 IDT 2020
מבוא לכלכלה לתעשייה וניהול,25/3/2020,Done,Fri Apr 10 10:29:52 IDT 2020
מבוא לכלכלה לתעשייה וניהול,1/4/2020,Done,Fri Apr 10 10:29:54 IDT 2020
מבוא לכלכלה לתעשייה וניהול,22/4/2020,Not Done,Fri Apr 10 10:29:47 IDT 2020
מבוא למערכות הפעלה,17/04/2020,Not Done,Fri Apr 10 10:34:32 IDT 2020
מודלים חישוביים ואלגוריתמים ,20/04/2020,Not Done,Fri Apr 10 10:36:24 IDT 2020
מימוש מערכות בסיסי נתונים,12/4/2020,Not Done,Fri Apr 10 10:41:00 IDT 2020
