נושאים מתקדמים בתכנות,16/4/2020,Done,Fri Apr 17 11:49:03 IDT 2020,100
מבוא לכלכלה לתעשייה וניהול,25/3/2020,Done,Fri Apr 10 10:29:52 IDT 2020,Not Updated
מבוא לכלכלה לתעשייה וניהול,1/4/2020,Done,Fri Apr 10 10:29:54 IDT 2020,Not Updated
מבוא לכלכלה לתעשייה וניהול,22/4/2020,Done,Fri Apr 17 11:49:08 IDT 2020,Not Updated
מבוא למערכות הפעלה,17/04/2020,Done,Fri Apr 17 11:49:04 IDT 2020,Not Updated
מודלים חישוביים ואלגוריתמים ,20/04/2020,Done,Fri Apr 17 11:49:06 IDT 2020,Not Updated
מימוש מערכות בסיסי נתונים,15/4/2020,Done,Fri Apr 17 11:49:01 IDT 2020,Not Updated
שיטות נומריות בתעשייה ,28/4/2020,Done,Sat Apr 18 11:12:07 IDT 2020,Not Updated
